Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,1.44991261341621,158.7004175051587,169.81979059417662,177.60028804657514,166.06132913898256,2.076910396101054,19.236578421830107,6.6674738050913085,9.06686002624473,23.005800489925825,Bicep Curl
left,2.363663555933223,162.59376234036495,169.90732815763798,177.53336229223794,166.04059771354676,1.1552008363685924,16.274941743054523,6.597682019931458,9.06396959349773,23.023641569828108,Bicep Curl
left,2.960740887095688,165.49659742135708,169.9431052856729,177.49033627172204,165.941289513274,0.5854482996552769,13.964307890252497,6.556895540387717,9.06619001845228,23.12517749949353,Bicep Curl
left,3.432948315289918,167.68757233491533,170.12544303843134,177.3398589575444,166.4491018650474,0.22274549237983185,12.299972407162192,6.428815974037861,9.08853631726048,22.639788240579602,Bicep Curl
left,3.8387083223338827,169.44048693684834,170.31422627001024,177.18445491451376,167.23930503234345,0.48841790213397857,10.997424543945641,6.284573381116518,9.099641543717919,21.860803994450006,Bicep Curl
left,4.076090361492785,170.60517273949185,170.4216584072205,177.09352957511092,167.45497931643877,0.7435009376907964,10.107596390118381,6.214608832283654,9.120563733957333,21.666099282701577,Bicep Curl
left,4.29246053881761,171.42883068085246,170.6513132401763,176.97846809238206,167.4505946800779,1.0559117759764438,9.606990063352923,6.0915884403777945,9.112556453405713,21.662474767193924,Bicep Curl
left,4.568476016547612,172.47076104264187,170.84365539194403,176.93269211943226,167.20351778092717,1.4304366014359398,8.946028511888013,6.00405993756588,9.070775502064889,21.867724536278146,Bicep Curl
left,5.0133326903641136,173.91865598793734,171.04476713123574,176.9003445069675,167.09586723815372,1.9807355273049383,8.05349069149487,5.913214369815381,9.012251140871403,21.91682730221101,Bicep Curl
left,5.233902854940581,174.5453502567254,171.07119383870182,176.91682945615747,167.1062241444916,2.2187285660776848,7.666305913469464,5.905589366095326,8.988147261653351,21.882356684294717,Bicep Curl
